store, eta, time
2105,15-25,2022-12-24 05:58:42
2106,20-30,2022-12-24 05:58:42
2076,15-30,2022-12-24 05:58:41
2108,18-28,2022-12-24 05:58:42
2109,15-30,2022-12-24 05:58:42
2060,18-28,2022-12-24 05:58:40
2113,20-30,2022-12-24 05:58:42
2111,15-30,2022-12-24 05:58:42
2066,20-20,2022-12-24 05:58:40
2085,15-25,2022-12-24 05:58:41
2112,17-27,2022-12-24 05:58:42
2074,16-26,2022-12-24 05:58:40
2114,25-35,2022-12-24 05:58:42
2116,14-29,2022-12-24 05:58:42
2115,20-30,2022-12-24 05:58:43
2122,20-30,2022-12-24 05:58:42
2110,20-30,2022-12-24 05:58:42
2097,11-21,2022-12-24 05:58:42
2080,20-30,2022-12-24 05:58:41
2121,20-35,2022-12-24 05:58:42
2118,15-25,2022-12-24 05:58:42
2120,20-30,2022-12-24 05:58:42
2127,15-25,2022-12-24 06:58:42
2125,20-30,2022-12-24 06:58:42
2126,18-28,2022-12-24 06:58:42
2131,15-25,2022-12-24 06:58:43
2132,20-30,2022-12-24 06:58:43
2124,15-25,2022-12-24 05:58:42
2133,20-30,2022-12-24 06:58:43
2128,13-23,2022-12-24 06:58:42
2129,15-25,2022-12-24 06:58:42
2143,25-35,2022-12-24 06:58:43
2136,15-25,2022-12-24 06:58:43
2142,30-40,2022-12-24 06:58:43
2145,,2022-12-24 06:59:12
2135,15-25,2022-12-24 06:58:43
2150,30-40,2022-12-24 06:58:43
2139,15-25,2022-12-24 06:58:43
2144,20-30,2022-12-24 06:58:43
2152,25-35,2022-12-24 06:58:43
2117,20-30,2022-12-24 05:58:42
2157,20-30,2022-12-24 06:58:43
2159,16-26,2022-12-24 06:58:43
